Кандзи,Кана,Перевод,Уровень
一日,ついたち,первое число месяца,5
使う,つかう,использовать、применять,5
疲れる,つかれる,уставать,5
次ぎ,つぎ,следующий,5
着く,つく,прибывать、занимать место,5
机,つくえ,стол,5
作る,つくる,делать、изготовлять,5
点ける,つける,зажигать、включать (свет、электричество),5
勤める,つとめる,служить、исполнять обязанности,5
詰らない,つまらない,бесполезный、скучный,5
冷たい,つめたい,холодный,5
強い,つよい,сильный,5
手,て,рука,5
,テープ,лента、магнитная пленка,5
,テーブル,стол,5
,テープレコーダー,магнитофон,5
出掛ける,でかける,выходить、отправляться,5
手紙,てがみ,письмо,5
出来る,できる,мочь,5
出口,でぐち,выход,5
,テスト,тест,5
,では,ну、тогда、значит、в таком случае,5
お元気で,おげんきで,берегите себя!,5
,デパート,универмаг,5
,でも,но,5
出る,でる,выходить、появляться,5
,テレビ,телевизор,5
天気,てんき,погода,5
電気,でんき,электричество、свет,5
電車,でんしゃ,электричка,5
電話,でんわ,телефон,5
戸,と,японская дверь,5
〜度,ど,…градусов、…раз,5
,ドア,дверь (западная),5
,トイレ,туалет,5
,どう,как? (субъективное мнение),5
,どうして,почему?、каким образом? (как случилось),5
,どうぞ,пожалуйста,5
,どうぞよろしく,приятно познакомиться (в конце представления),5
動物,どうぶつ,животное,5
,どうも,очень、спасибо,5
,どうもありがとうございます,большое спасибо,5
十,とお,десять,5
遠い,とおい,далекий,5
十日,とおか,десятое число、десять дней,5
時々,ときどき,иногда,5
時計,とけい,часы,5
,どこ,где?,5
所,ところ,место,5
年,とし,год,5
図書館,としょかん,библиотека,5
何方,どちら,где、который、кто,5
,とても,очень,5
,どなた,вежливо кто?,5
隣り,となり,соседний、по соседству,5
,どの,какой…、который…,5
飛ぶ,とぶ,лететь、прыгать,5
止まる,とまる,останавливаться、прекращаться,5
友達,ともだち,друг,5
土曜日,どようび,суббота,5
鳥,とり,птица,5
鳥肉,とりにく,курятина、мясо птицы,5
取る,とる,брать,5
撮る,とる,фотографировать,5
,どれ,какой、который (из более чем двух предметов),5
,どんな,какой,5
無い,ない,нет、не быть、не иметься,5
,ナイフ,нож,5
中,なか,середина、внутри、в,5
長い,ながい,длинный,5
鳴く,なく,чирикать、мычать、издавать звук (о животных),5
,なぜ,почему,5
夏,なつ,лето,5
夏休み,なつやすみ,летние каникулы,5
,など,и так далее,5
七つ,ななつ,семь,5
何,なに・なん,что?,5
七日,なのか,семь дней、седьмое число месяца,5
名前,なまえ,имя,5
習う,ならう,учиться、изучать,5
並ぶ,ならぶ,стоять в ряд、быть подобным,5
並べる,ならべる,ставить в ряд,5
,なる,становиться、делаться,5
二,に,два,5
賑やか,にぎやか,оживленный、многолюдный,5
肉,にく,мясо,5
西,にし,запад,5
〜日,にち,число (день) месяца или кол-во дней,5
日曜日,にちようび,воскресенье,5
荷物,にもつ,багаж、груз,5
,ニュース,новости,5
庭,にわ,сад、двор,5
〜人,にん,сч. суф. для людей,5
脱ぐ,ぬぐ,снимать одежду,5
温い,ぬるい,слегка теплый,5
,ネクタイ,галстук,5
猫,ねこ,кошка,5
寝る,ねる,ложиться спать、засыпать、спать,5
〜年,ねん,…год,5
,ノート,записная книжка、записи,5
登る,のぼる,подниматься、взбираться,5
飲み物,のみもの,напиток,5
飲む,のむ,пить,5
乗る,のる,ехать в транспорте,5
歯,は,зуб,5
,パーティー,вечеринка,5
,はい,да,5
〜杯,はい・ぱい,сч. суф. выпитых чашек、рюмок,5
灰皿,はいざら,пепельница,5
入る,はいる,входить,5
葉書,はがき,открытка,5
,はく,надевать на ноги,5
箱,はこ,ящик、коробка,5
橋,はし,мост,5
箸,はし,палочки для еды,5
始まる,はじまる,начинаться,5
始め・初め,はじめ,начало,5
初めて,はじめて,впервые,5
始めまして,はじめまして,фраза для представления себя (знакомство),5
走る,はしる,бежать、ехать (о машине),5
,バス,автобус,5
,バター,сливочное масло,5
二十歳,はたち,20 лет,5
働く,はたらく,работать,5
八,はち,восемь,5
二十日,はつか,20-е число、20-ть дней,5
花,はな,цветок,5
鼻,はな,нос,5
話,はなし,беседа、разговор,5
話す,はなす,говорить,5
母,はは,мама,5
早い,はやい,ранний,5
速い,はやい,быстрый,5
春,はる,весна,5
貼る,はる,наклеивать,5
晴れ,はれ,ясная погода,5
晴れる,はれる,проясняться、рассеиваться,5
〜半,はん,половина,5
晩,ばん,вечер,5
〜番,ばん,порядковый номер、очередь,5
,パン,хлеб,5
,ハンカチ,носовой платок,5
番号,ばんごう,порядковый номер,5
晩御飯,ばんごはん,ужин,5
半分,はんぶん,половина、полминуты,5
東,ひがし,восток,5
〜匹,ひき,сч. суф. для мелких животных,5
引く,ひく,тянуть、тащить,5
弾く,ひく,играть на муз. инструментах,5
低い,ひくい,низкий,5
飛行機,ひこうき,самолет,5
左,ひだり,левый、слева、налево,5
人,ひと,человек,5
一つ,ひとつ,один,5
一月,ひとつき,один месяц,5
一人,ひとり,один человек,5
暇,ひま,свободное время,5
百,ひゃく,сотня,5
病院,びょういん,больница,5
病気,びょうき,болезнь,5
平仮名,ひらがな,хирагана,5
昼,ひる,дневное время、середина дня,5
昼御飯,ひるごはん,обед,5
広い,ひろい,широкий、просторный,5
,フィルム,пленка,5
封筒,ふうとう,конверт,5
,プール,бассейн,5
,フォーク,вилка,5
吹く,ふく,дуть、выдувать,5
服,ふく,одежда,5
二つ,ふたつ,два,5
豚肉,ぶたにく,свинина,5
二人,ふたり,двое людей,5
二日,ふつか,второе число、два дня,5
太い,ふとい,толстый、жирный,5
冬,ふゆ,зима,5
降る,ふる,идти (об осадках),5
古い,ふるい,старый (не о людях),5
風呂,ふろ,японская баня、ванна,5
〜分,ふん,минута,5
,ページ,страница,5
下手,へた,неумелый,5
,ベッド,кровать,5
部屋,へや,комната,5
辺,へん,район、местность、окрестности,5
,ペン,ручка,5
勉強,べんきょう,занятие、учение,5
便利,べんり,удобство,5
方,ほう,сторона、направление,5
帽子,ぼうし,шляпа,5
,ボールペン,шариковая ручка,5
外,ほか,другой,5
,ポケット,карман,5
欲しい,ほしい,желанный、хотеть,5
細い,ほそい,тонкий、узкий,5
,ボタン,кнопка,5
,ホテル,гостиница、отель,5
本,ほん,книга,5
〜本,ほん,сч. суф. для продолговатых предметов,5
本棚,ほんだな,книжная полка,5
本当,ほんとう,правда,5
毎…,まい,каждый (день、месяц、год),5
〜枚,まい,сч. суф. для плоских предметов,5
毎朝,まいあさ,каждое утро,5
毎月,まいげつ・まいつき,каждый месяц,5
毎週,まいしゅう,каждую неделю,5
毎日,まいにち,каждый день,5
毎年,まいねん,каждый год,5
毎晩,まいばん,каждый вечер,5
前,まえ,перед、впереди,5
〜前,まえ,…тому назад,5
曲がる,まがる,гнуться、сгибаться、поворачивать,5
不味い,まずい,невкусный、неумелый、непривлекательный,5
又,また,опять、снова、к тому же,5
未だ,まだ,все еще、пока… 、еще не,5
町,まち,город,5
待つ,まつ,ждать,5
,まっすぐ,прямо、не сворачивая,5
,マッチ,спички、подходить、матч,5
窓,まど,окно,5
丸い・円い,まるい,круглый,5
万,まん,десять тысяч,5
万年筆,まんねんひつ,авторучка,5
磨く,みがく,чистить、полировать、чистить,5
右,みぎ,правый、справа、направо,5
短い,みじかい,короткий,5
水,みず,вода,5
店,みせ,магазин,5
見せる,みせる,показывать,5
道,みち,дорога、путь、улица,5
三日,みっか,третье число、три дня,5
三つ,みっつ,три,5
皆さん,みなさん,все (собравшиеся)、Господа!,5
南,みなみ,юг,5
耳,みみ,ухо,5
見る,みる,смотреть,5
皆,みんな,все、все присутствующие (разг.),5
六日,むいか,шестое число、шесть дней,5
向こう,むこう,та сторона (там),5
難しい,むずかしい,трудный,5
六つ,むっつ,шесть,5
目,め,глаз,5
,メートル,метр,5
眼鏡,めがね,очки,5
,もう,уже,5
もう一度,もういちど,еще раз、снова,5
木曜日,もくようび,четверг,5
,もしもし,алло,5
勿論,もちろん,конечно,5
持つ,もつ,держать、иметь、обладать,5
,もっと,еще (больше),5
物,もの,вещь,5
門,もん,ворота,5
問題,もんだい,проблема、вопрос,5
〜屋,や,суф. профессии、заведения、лавки,5
八百屋,やおや,овощной магазин,5
野菜,やさい,овощи,5
易しい,やさしい,легкий、простой,5
安い,やすい,дешевый、спокойный,5
休み,やすみ,отдых、каникулы、перерыв,5
休む,やすむ,отдыхать、пропускать,5
八つ,やっつ,восемь,5
山,やま,гора,5
遣る,やる,делать,5
夕方,ゆうがた,вечер、сумерки,5
郵便局,ゆうびんきょく,почтовое отделение,5
昨夜,ゆうべ,вчера вечером,5
有名,ゆうめい,известный、знаменитый,5
雪,ゆき,снег,5
,ゆっくりと,медленно、не спеша、потихоньку,5
八日,ようか,восемь дней、восьмое число,5
洋服,ようふく,западная одежда,5
,よく,часто,5
横,よこ,бок、боковая сторона、ширина,5
四日,よっか,четвертое число、четыре дня,5
四つ,よっつ,четыре,5
呼ぶ,よぶ,звать、приглашать,5
読む,よむ,читать,5
夜,よる,ночь、вечер,5
来月,らいげつ,следующий месяц,5
来週,らいしゅう,следующая неделя,5
来年,らいねん,следующий год,5
,ラジオ,радио,5
立派,りっぱ,прекрасный、превосходный、выдающийся,5
留学生,りゅうがくせい,иностранный студент,5
両親,りょうしん,родители,5
料理,りょうり,кушанье、еда、какая-то кухня,5
旅行,りょこう,путешествие、поездка,5
零,れい,ноль,5
冷蔵庫,れいぞうこ,холодильник,5
,レコード,рекорд、запись,5
,レストラン,ресторан,5
練習,れんしゅう,упражнения、тренировка,5
六,ろく,шесть,5
,ワイシャツ,мужская рубашка,5
若い,わかい,молодой,5
分かる,わかる,понимать、быть понятным,5
忘れる,わすれる,забывать,5
私,わたし・わたくし,я (нейтрально и официально),5
渡す,わたす,переправлять、перевозить、вручать,5
渡る,わたる,переходить、переправляться、пересекать,5
悪い,わるい,плохой、виноватый,5
（て）仕舞う,（て）しまう,полностью… (видовая форма),4
（に）就いて,（に）ついて,о、об,4
（に）拠ると,（に）よると,согласно… по словам…,4
あ,あ,ах!,4
ああ,ああ,так、таким образом,4
挨拶（する）,あいさつ,приветствие、обращение,4
間,あいだ,промежуток、интервал,4
合う,あう,соответствовать、совпадать、быть правильным,4
赤ちゃん,あかちゃん,младенец,4
上がる,あがる,подниматься、взбираться、всходить、кушать,4
赤ん坊,あかんぼう,младенец,4
空く,あく,открываться、раскрываться、освобождаться、быть свободным,4
上げる・挙げる,あげる,поднимать、повышать,4
朝寝坊,あさねぼう,соня,4
味,あじ,вкус,4
明日,あす,завтра,4
遊び,あそび,игра,4
集まる,あつまる,собираться、встречаться、накапливаться,4
集める,あつめる,собирать、созывать、коллекционировать、накапливать,4
謝る,あやまる,извиняться,4
,アルコール,спирт、алкоголь,4
,アルバイト,подработка,4
安心（する）,あんしん（する）,спокойствие,4
安全,あんぜん,безопасность,4
,あんな,такой、такая,4
案内（する）,あんない（する）,гид、быть проводником、показывать дорогу,4
以下,いか,нижеследующий…、меньше…、менее,4
以外,いがい,кроме,4
如何,いかが,как насчет…?,4
医学,いがく,медицина (наука),4
生きる,いきる,жить、быть живым,4
,いくらても,сколько бы ни…,4
意見,いけん,мнение、взгляд,4
石,いし,камень,4
苛める,いじめる,мучать、дразнить,4
以上,いじょう,свыше、более、сверх-、вышеуказанное,4
急ぐ,いそぐ,спешить,4
致す,いたす,делать,4
頂く,いただく,получать、брать、принимать、есть、пить (скромно о себе),4
一度,いちど,(один) раз,4
,いっ(い)らっしゃい,счастливого пути!,4
一生懸命,いっしょうけんめい,изо всех сил,4
行って参ります,いってまいります,до свидания (я вернусь),4
一杯,いっぱい,полный、один стакан、выпивка,4
一般（に）,いっぱん,общий、обычный、в общем,4
糸,いと,нить,4
以内,いない,в пределах、в течение、не свыше,4
田舎,いなか,деревня、сельская местность,4
祈る,いのる,молиться、желать (к-л ч-л),4
,いらっしゃる,идти、приходить (вежл.),4
員,いん,член (комитета и др.),4
植える,うえる,сажать (растения)、выращивать,4
伺う,うかがう,посещать、навещать、спрашивать、осведомляться,4
受付,うけつけ,приём、справочное бюро、регистратура,4
受ける,うける,получать、принимать,4
動く,うごく,двигаться、работать (о механизме),4
嘘,うそ,неправда、ложь,4
内,うち,между、в течение、внутри,4
打つ,うつ,бить、ударять,4
美しい,うつくしい,красивый,4
写す,うつす,снимать копию、фотографировать,4
移る,うつる,переходить、переезжать、быть заразным,4
映る,うつる,отражаться (в зеркале),4
腕,うで,рука (от плеча до запястья),4
甘い・美味い・旨い・上手い・巧い,うまい,вкусный、умелый、ловкий,4
裏,うら,оборотная сторона、изнанка、задняя сторона、подкладка,4
売り場,うりば,касса、место продажи,4
煩い・五月蝿い,うるさい,шумный、надоедливый、нудный、придирчивый,4
嬉しい,うれしい,радостный、веселый、приятный,4
,うん,угу、да,4
運転（する）,うんてん（する）,вождение (машины),4
運転手,うんてんしゅ,водитель,4
運動（する）,うんどう（する）,движение、физическое упражнение,4
,エスカレーター,эскалатор,4
枝,えだ,ветка,4
選ぶ,えらぶ,выбирать,4
遠慮（する）,えんりょ（する）,стеснительность、сдержанность、воздержание,4
お出でになる,おいでになる,направляться к-л,4
お祝い,おいわい,праздник、поздравление,4
応接間,おうせつま,приемная комната,4
多い,おおい,многочисленный、обильный、частый,4
大きな,おおきな,большой,4
,オートバイ,мотоцикл,4
,オーバー,пальто、преувеличение,4
御帰りなさい,おかえりなさい,с возвращением!,4
